feature,importance
v2_hero_wr_avg_b,232
v2_synergy_mean_b,228
v2_synergy_mean_a,218
v2_hero_wr_diff,214
v2_core_wr_b,205
v2_ph_wr_diff,200
v2_synergy_diff,196
v2_ph_wr_avg_b,173
v2_hero_wr_avg_a,168
v2_ph_wr_avg_a,165
v2_core_wr_a,154
v1_jgl_part_diff,145
v2_core_wr_diff,142
v1_team_dragon_diff,136
v1_adc_kda_diff,132
v1_team_wr_diff,129
v2_counter_mean,126
v1_team_games_diff,124
v1_sup_part_diff,118
v1_top_part_diff,114
v1_sup_kda_diff,111
v1_team_baron_diff,106
v1_mid_kda_diff,99
v1_mid_part_diff,98
v1_adc_part_diff,98
v1_jgl_kda_diff,89
v1_mid_mvp_diff,88
v1_top_mvp_diff,77
v2_synergy_min_a,77
v1_top_kda_diff,74
v1_team_kda_diff,71
v1_jgl_mvp_diff,71
v1_sup_mvp_diff,70
v1_adc_mvp_diff,62
v1_team_gold_diff,61
v1_team_tower_diff,57
v2_counter_min,1
v2_counter_max,0
