battle_id,league_id,start_time,label,v1_team_wr_diff,v1_team_kda_diff,v1_team_gold_diff,v1_team_tower_diff,v1_team_dragon_diff,v1_team_baron_diff,v1_team_games_diff,v1_top_kda_diff,v1_top_mvp_diff,v1_top_part_diff,v1_jgl_kda_diff,v1_jgl_mvp_diff,v1_jgl_part_diff,v1_mid_kda_diff,v1_mid_mvp_diff,v1_mid_part_diff,v1_adc_kda_diff,v1_adc_mvp_diff,v1_adc_part_diff,v1_sup_kda_diff,v1_sup_mvp_diff,v1_sup_part_diff,v2_hero_wr_avg_a,v2_hero_wr_avg_b,v2_hero_wr_diff,v2_ph_wr_avg_a,v2_ph_wr_avg_b,v2_ph_wr_diff,v2_synergy_mean_a,v2_synergy_mean_b,v2_synergy_diff,v2_synergy_min_a,v2_counter_mean,v2_counter_max,v2_counter_min,v2_core_wr_a,v2_core_wr_b,v2_core_wr_diff
48251408_71_1752325639,20250002,2025-07-12 20:00:00,0,0.05517241379310345,2.017522266009853,-4057.3142857142884,-0.0266009852216742,0.09359605911330071,-0.12118226600985216,-6,0.3645320197044333,0.4596059113300486,-7.143708472906411,-0.34088669950738915,-0.33241379310344765,-6.51244827586207,0.22866995073891516,0.507487684729063,0.9854929064039339,0.6709359605911329,0.6325123152709358,-0.7695372413793109,-0.23467980295566448,0.4492610837438429,-1.1484896551723836,0.5361154949784792,0.4916490137385832,0.044466481239895994,0.41428571428571426,0.4352380952380953,-0.020952380952381056,0.5666666666666667,0.5444444444444444,0.022222222222222254,0.0,0.579025641025641,1.0,0.0,0.6029411764705883,0.5125,0.09044117647058836
48251408_72_1752327648,20250002,2025-07-12 20:00:00,0,0.05517241379310345,2.017522266009853,-4057.3142857142884,-0.0266009852216742,0.09359605911330071,-0.12118226600985216,-6,0.3645320197044333,0.4596059113300486,-7.143708472906411,-0.34088669950738915,-0.33241379310344765,-6.51244827586207,0.22866995073891516,0.507487684729063,0.9854929064039339,0.6709359605911329,0.6325123152709358,-0.7695372413793109,-0.23467980295566448,0.4492610837438429,-1.1484896551723836,0.6071406371406372,0.47877305634847156,0.1283675807921656,0.6333333333333333,0.3833333333333333,0.25,0.5379310344827586,0.5508333333333333,-0.0129022988505747,0.0,0.6039999999999999,1.0,0.0,0.5729797979797979,0.48461174242424243,0.08836805555555549
434127376_20_1752386511,20250002,2025-07-13 14:00:00,1,0.0030303030303029943,-0.49342727272727327,-2876.5272727272677,0.29393939393939394,-0.35757575757575766,-0.203030303030303,-3,0.08022988505747186,-0.17287356321839198,5.26712183908046,-0.14579124579124558,0.42558922558922596,8.516468686868677,0.04212121212121245,0.18696969696969656,5.447191818181835,-3.2515151515151515,-2.1969696969696964,42.624524242424236,0.140714285714286,0.49071428571428477,15.472420476190464,0.5682356296884123,0.5967022532776608,-0.028466623589248452,0.38,0.7333333333333333,-0.3533333333333333,0.5274603174603174,0.6908212131006248,-0.16336089564030742,0.2857142857142857,0.5848030303030303,1.0,0.0,0.5627442466348241,0.5942181647940075,-0.03147391815918332
434127376_21_1752388607,20250002,2025-07-13 14:00:00,1,0.0030303030303029943,-0.49342727272727327,-2876.5272727272677,0.29393939393939394,-0.35757575757575766,-0.203030303030303,-3,0.08022988505747186,-0.17287356321839198,5.26712183908046,-0.14579124579124558,0.42558922558922596,8.516468686868677,0.04212121212121245,0.18696969696969656,5.447191818181835,-3.2515151515151515,-2.1969696969696964,42.624524242424236,0.140714285714286,0.49071428571428477,15.472420476190464,0.5532284576796924,0.5289207333458205,0.02430772433387196,0.6,0.7533333333333333,-0.15333333333333332,0.6472727272727272,0.2997435897435897,0.3475291375291375,0.36363636363636365,0.6014285714285714,1.0,0.0,0.5017836757990868,0.5385629531970996,-0.03677927739801279
434127376_22_1752390705,20250002,2025-07-13 14:00:00,1,0.0030303030303029943,-0.49342727272727327,-2876.5272727272677,0.29393939393939394,-0.35757575757575766,-0.203030303030303,-3,0.08022988505747186,-0.17287356321839198,5.26712183908046,-0.14579124579124558,0.42558922558922596,8.516468686868677,0.04212121212121245,0.18696969696969656,5.447191818181835,-3.2515151515151515,-2.1969696969696964,42.624524242424236,0.140714285714286,0.49071428571428477,15.472420476190464,0.5073801696315632,0.47471498780312815,0.03266518182843503,0.5066666666666666,0.5666666666666667,-0.06000000000000005,0.602082362082362,0.434920634920635,0.167161727161727,0.5454545454545454,0.5011074481074481,1.0,0.0,0.49242250287026407,0.5175845709570956,-0.02516206808683158
1222656528_17_1752397502,20250002,2025-07-13 17:00:00,1,0.014008620689655138,4.387328987068968,1594.6767241379275,0.431034482758621,0.3232758620689655,-0.12392241379310343,3,1.6413793103448278,0.5264008620689644,8.05226885775862,0.9557692307692305,0.3100961538461551,-0.48868509615384426,1.3485991379310351,1.1957974137931036,7.102052262931039,0.47663690476190546,-0.03958333333333286,-4.488765178571427,0.9100961538461547,1.0512019230769232,-0.14127187500000105,0.5487832167832167,0.5374949394391904,0.011288277344026376,0.36666666666666664,0.48,-0.11333333333333334,0.7857142857142858,0.5660714285714287,0.21964285714285714,0.5,0.6313333333333333,1.0,0.0,0.5227272727272727,0.5051020408163265,0.017625231910946226
1222656528_18_1752399456,20250002,2025-07-13 17:00:00,0,0.014008620689655138,4.387328987068968,1594.6767241379275,0.431034482758621,0.3232758620689655,-0.12392241379310343,3,1.6413793103448278,0.5264008620689644,8.05226885775862,0.9557692307692305,0.3100961538461551,-0.48868509615384426,1.3485991379310351,1.1957974137931036,7.102052262931039,0.47663690476190546,-0.03958333333333286,-4.488765178571427,0.9100961538461547,1.0512019230769232,-0.14127187500000105,0.41399503722084374,0.49072084053730547,-0.07672580331646173,0.4904761904761904,0.2619047619047619,0.22857142857142848,0.6083333333333334,0.40763403263403264,0.20069930069930075,0.0,0.569,1.0,0.0,0.2,0.4666666666666667,-0.26666666666666666
1222656528_19_1752402035,20250002,2025-07-13 17:00:00,1,0.014008620689655138,4.387328987068968,1594.6767241379275,0.431034482758621,0.3232758620689655,-0.12392241379310343,3,1.6413793103448278,0.5264008620689644,8.05226885775862,0.9557692307692305,0.3100961538461551,-0.48868509615384426,1.3485991379310351,1.1957974137931036,7.102052262931039,0.47663690476190546,-0.03958333333333286,-4.488765178571427,0.9100961538461547,1.0512019230769232,-0.14127187500000105,0.5034728176114315,0.44878527316107164,0.05468754445035984,0.41500000000000004,0.3,0.11500000000000005,0.32093173110414486,0.4309523809523809,-0.11002064984823606,0.0,0.33844444444444444,0.6666666666666666,0.0,0.5133333333333333,0.5031746031746032,0.010158730158730145
1222656528_20_1752403936,20250002,2025-07-13 17:00:00,0,0.014008620689655138,4.387328987068968,1594.6767241379275,0.431034482758621,0.3232758620689655,-0.12392241379310343,3,1.6413793103448278,0.5264008620689644,8.05226885775862,0.9557692307692305,0.3100961538461551,-0.48868509615384426,1.3485991379310351,1.1957974137931036,7.102052262931039,0.47663690476190546,-0.03958333333333286,-4.488765178571427,0.9100961538461547,1.0512019230769232,-0.14127187500000105,0.5519315683129955,0.5512048757618377,0.0007266925511577593,0.4004761904761905,0.3,0.1004761904761905,0.5276190476190477,0.7083333333333333,-0.1807142857142856,0.0,0.4191832611832612,0.8,0.0,0.514905962384954,0.5185185185185186,-0.003612556133564593
1222656528_21_1752405777,20250002,2025-07-13 17:00:00,1,0.014008620689655138,4.387328987068968,1594.6767241379275,0.431034482758621,0.3232758620689655,-0.12392241379310343,3,1.6413793103448278,0.5264008620689644,8.05226885775862,0.9557692307692305,0.3100961538461551,-0.48868509615384426,1.3485991379310351,1.1957974137931036,7.102052262931039,0.47663690476190546,-0.03958333333333286,-4.488765178571427,0.9100961538461547,1.0512019230769232,-0.14127187500000105,0.4889413174549676,0.5344844006230145,-0.045543083168046894,0.36904761904761907,0.41428571428571426,-0.04523809523809519,0.41944444444444445,0.5433333333333333,-0.12388888888888888,0.0,0.335,0.8333333333333334,0.0,0.5185185185185186,0.5619047619047619,-0.043386243386243306
1038107152_25_1752415817,20250002,2025-07-13 20:00:00,1,-0.1306165099268547,-2.700814524555904,1774.2330198537093,0.608150470219436,-0.417972831765935,0.48275862068965514,4,0.038349007314525174,-0.1168234064785798,7.874034900731452,-1.0727272727272732,-0.5485893416927912,1.2784655172413721,0.2676071055381408,-0.8178683385579939,1.3687615464994707,3.8896551724137938,2.613793103448275,60.01936551724139,-1.2245791245791242,-0.9794612794612796,-1.5698249158248956,0.668451567071261,0.5138431613431613,0.15460840572809964,0.8428571428571429,0.58,0.2628571428571429,0.7,0.26607142857142857,0.4339285714285714,0.5,0.6638888888888889,1.0,0.0,0.5906148867313916,0.4810606060606061,0.10955428067078554
1038107152_24_1752413778,20250002,2025-07-13 20:00:00,1,-0.1306165099268547,-2.700814524555904,1774.2330198537093,0.608150470219436,-0.417972831765935,0.48275862068965514,4,0.038349007314525174,-0.1168234064785798,7.874034900731452,-1.0727272727272732,-0.5485893416927912,1.2784655172413721,0.2676071055381408,-0.8178683385579939,1.3687615464994707,3.8896551724137938,2.613793103448275,60.01936551724139,-1.2245791245791242,-0.9794612794612796,-1.5698249158248956,0.5983540372670808,0.5049393525791249,0.09341468468795588,0.7,0.72,-0.020000000000000018,0.8474999999999999,0.3938886859091463,0.45361131409085365,0.5,0.551,1.0,0.0,0.5304089026915114,0.4568965517241379,0.07351235096737352
