feature,importance
kda_diff_all,205
games_diff,201
top_kda_diff,196
top_mvp_diff,191
big_dragon_diff,186
support_kda_diff,185
jungle_kda_diff,174
adc_kda_diff,165
support_mvp_diff,164
winrate_diff,163
mid_mvp_diff,161
winrate_diff_all,154
tyrant_diff,146
gold_diff,143
kda_diff_30d,129
jungle_mvp_diff,125
tower_diff,120
adc_mvp_diff,113
mid_kda_diff,95
