battle_id,league_id,start_time,label,team_wr_diff,team_kda_diff,team_baron_diff,team_dragon_diff,team_games_diff,team_streak_a,team_streak_b,team_streak_diff,top_kda_diff,top_mvp_diff,top_part_diff,top_kda_trend,jgl_kda_diff,jgl_mvp_diff,jgl_part_diff,jgl_kda_trend,mid_kda_diff,mid_mvp_diff,mid_part_diff,mid_kda_trend,adc_kda_diff,adc_mvp_diff,adc_part_diff,adc_kda_trend,sup_kda_diff,sup_mvp_diff,sup_part_diff,sup_kda_trend,hero_wr_avg_a,hero_wr_avg_b,hero_wr_diff,ph_wr_avg_a,ph_wr_avg_b,ph_wr_diff,synergy_mean_a,synergy_mean_b,synergy_diff,counter_mean,core_wr_a,core_wr_b,core_wr_diff,side_win_rate,h2h_wr,h2h_games
48251408_71_1752325639,20250002,2025-07-12 20:00:00,0,0.05517241379310345,2.017522266009853,-0.12118226600985216,0.09359605911330071,-6,-2,1,-3,0.3645320197044333,0.4596059113300486,-7.143708472906411,-0.26453201970443274,-0.34088669950738915,-0.33241379310344765,-6.51244827586207,-0.5391133004926116,0.22866995073891516,0.507487684729063,0.9854929064039339,1.0713300492610855,0.6709359605911329,0.6325123152709358,-0.7695372413793109,1.5290640394088681,-0.23467980295566448,0.4492610837438429,-1.1484896551723836,0.07467980295566523,0.5275410058552097,0.49369982347071917,0.03384118238449052,0.6642857142857143,0.5580952380952381,0.10619047619047617,0.5666666666666667,0.5444444444444444,0.022222222222222254,0.4817777777777777,0.5691573926868045,0.525,0.04415739268680452,0.4511784511784512,0.5,0
48251408_72_1752327648,20250002,2025-07-12 20:00:00,0,0.05517241379310345,2.017522266009853,-0.12118226600985216,0.09359605911330071,-6,-2,1,-3,0.3645320197044333,0.4596059113300486,-7.143708472906411,-0.26453201970443274,-0.34088669950738915,-0.33241379310344765,-6.51244827586207,-0.5391133004926116,0.22866995073891516,0.507487684729063,0.9854929064039339,1.0713300492610855,0.6709359605911329,0.6325123152709358,-0.7695372413793109,1.5290640394088681,-0.23467980295566448,0.4492610837438429,-1.1484896551723836,0.07467980295566523,0.4656643356643356,0.5476935014383109,-0.08202916577397523,0.4333333333333333,0.6,-0.16666666666666669,0.5379310344827586,0.5508333333333333,-0.0129022988505747,0.5262380952380952,0.4712121212121212,0.5314867424242424,-0.06027462121212124,0.5488215488215489,0.5,0
434127376_20_1752386511,20250002,2025-07-13 14:00:00,1,0.0030303030303029943,-0.49342727272727327,-0.203030303030303,-0.35757575757575766,-3,-1,1,-2,0.08022988505747186,-0.17287356321839198,5.26712183908046,2.8597701149425276,-0.14579124579124558,0.42558922558922596,8.516468686868677,0.26579124579124613,0.04212121212121245,0.18696969696969656,5.447191818181835,0.8178787878787879,-3.2515151515151515,-2.1969696969696964,42.624524242424236,-0.04848484848484835,0.140714285714286,0.49071428571428477,15.472420476190464,0.2792857142857139,0.5099650979981134,0.5428008504063853,-0.03283575240827186,0.27999999999999997,0.5666666666666667,-0.2866666666666667,0.5274603174603174,0.6908212131006248,-0.16336089564030742,0.44777948003605517,0.541033434650456,0.5452949438202247,-0.004261509169768751,0.45182724252491696,0.5,0
434127376_21_1752388607,20250002,2025-07-13 14:00:00,1,0.0030303030303029943,-0.49342727272727327,-0.203030303030303,-0.35757575757575766,-3,-1,1,-2,0.08022988505747186,-0.17287356321839198,5.26712183908046,2.8597701149425276,-0.14579124579124558,0.42558922558922596,8.516468686868677,0.26579124579124613,0.04212121212121245,0.18696969696969656,5.447191818181835,0.8178787878787879,-3.2515151515151515,-2.1969696969696964,42.624524242424236,-0.04848484848484835,0.140714285714286,0.49071428571428477,15.472420476190464,0.2792857142857139,0.5492930326956471,0.4527949211224473,0.09649811157319982,0.4333333333333333,0.5866666666666667,-0.15333333333333338,0.6472727272727272,0.2997435897435897,0.3475291375291375,0.5954819624819625,0.563712899543379,0.469676994067238,0.09403590547614099,0.45182724252491696,0.5,0
434127376_22_1752390705,20250002,2025-07-13 14:00:00,1,0.0030303030303029943,-0.49342727272727327,-0.203030303030303,-0.35757575757575766,-3,-1,1,-2,0.08022988505747186,-0.17287356321839198,5.26712183908046,2.8597701149425276,-0.14579124579124558,0.42558922558922596,8.516468686868677,0.26579124579124613,0.04212121212121245,0.18696969696969656,5.447191818181835,0.8178787878787879,-3.2515151515151515,-2.1969696969696964,42.624524242424236,-0.04848484848484835,0.140714285714286,0.49071428571428477,15.472420476190464,0.2792857142857139,0.5422196006155724,0.5061188238389056,0.03610077677666679,0.30999999999999994,0.4833333333333333,-0.17333333333333334,0.602082362082362,0.434920634920635,0.167161727161727,0.5623422473583763,0.5385763490241102,0.5087149339933994,0.029861415030710825,0.45182724252491696,0.5,0
1222656528_17_1752397502,20250002,2025-07-13 17:00:00,1,0.014008620689655138,4.387328987068968,-0.12392241379310343,0.3232758620689655,3,3,4,-1,1.6413793103448278,0.5264008620689644,8.05226885775862,-2.001379310344827,0.9557692307692305,0.3100961538461551,-0.48868509615384426,-0.39576923076923043,1.3485991379310351,1.1957974137931036,7.102052262931039,-1.688599137931035,0.47663690476190546,-0.03958333333333286,-4.488765178571427,0.023363095238094544,0.9100961538461547,1.0512019230769232,-0.14127187500000105,-1.4900961538461548,0.6227132867132867,0.4991965850641809,0.12351670164910583,0.7333333333333333,0.76,-0.026666666666666727,0.7857142857142858,0.5660714285714287,0.21964285714285714,0.6527712418300653,0.5590909090909091,0.570964749536178,-0.011873840445268957,0.45723684210526316,0.5,0
1222656528_18_1752399456,20250002,2025-07-13 17:00:00,0,0.014008620689655138,4.387328987068968,-0.12392241379310343,0.3232758620689655,3,3,4,-1,1.6413793103448278,0.5264008620689644,8.05226885775862,-2.001379310344827,0.9557692307692305,0.3100961538461551,-0.48868509615384426,-0.39576923076923043,1.3485991379310351,1.1957974137931036,7.102052262931039,-1.688599137931035,0.47663690476190546,-0.03958333333333286,-4.488765178571427,0.023363095238094544,0.9100961538461547,1.0512019230769232,-0.14127187500000105,-1.4900961538461548,0.4407609594706369,0.4485599148822982,-0.007798955411661257,0.6142857142857142,0.4023809523809524,0.21190476190476182,0.6083333333333334,0.40763403263403264,0.20069930069930075,0.5912442002442002,0.4,0.3866666666666667,0.013333333333333308,0.45723684210526316,0.5,0
1222656528_19_1752402035,20250002,2025-07-13 17:00:00,1,0.014008620689655138,4.387328987068968,-0.12392241379310343,0.3232758620689655,3,3,4,-1,1.6413793103448278,0.5264008620689644,8.05226885775862,-2.001379310344827,0.9557692307692305,0.3100961538461551,-0.48868509615384426,-0.39576923076923043,1.3485991379310351,1.1957974137931036,7.102052262931039,-1.688599137931035,0.47663690476190546,-0.03958333333333286,-4.488765178571427,0.023363095238094544,0.9100961538461547,1.0512019230769232,-0.14127187500000105,-1.4900961538461548,0.43358647952707363,0.452919122310319,-0.01933264278324537,0.52,0.5833333333333333,-0.06333333333333324,0.32093173110414486,0.4309523809523809,-0.11002064984823606,0.46093795093795087,0.4,0.4753968253968254,-0.07539682539682535,0.45723684210526316,0.5,0
1222656528_20_1752403936,20250002,2025-07-13 17:00:00,0,0.014008620689655138,4.387328987068968,-0.12392241379310343,0.3232758620689655,3,3,4,-1,1.6413793103448278,0.5264008620689644,8.05226885775862,-2.001379310344827,0.9557692307692305,0.3100961538461551,-0.48868509615384426,-0.39576923076923043,1.3485991379310351,1.1957974137931036,7.102052262931039,-1.688599137931035,0.47663690476190546,-0.03958333333333286,-4.488765178571427,0.023363095238094544,0.9100961538461547,1.0512019230769232,-0.14127187500000105,-1.4900961538461548,0.48412057457805924,0.5889025734595354,-0.10478199888147621,0.5171428571428571,0.5,0.017142857142857126,0.5276190476190477,0.7083333333333333,-0.1807142857142856,0.3904566719829877,0.5059023609443777,0.5127627627627627,-0.006860401818384987,0.5427631578947368,0.5,0
1222656528_21_1752405777,20250002,2025-07-13 17:00:00,1,0.014008620689655138,4.387328987068968,-0.12392241379310343,0.3232758620689655,3,3,4,-1,1.6413793103448278,0.5264008620689644,8.05226885775862,-2.001379310344827,0.9557692307692305,0.3100961538461551,-0.48868509615384426,-0.39576923076923043,1.3485991379310351,1.1957974137931036,7.102052262931039,-1.688599137931035,0.47663690476190546,-0.03958333333333286,-4.488765178571427,0.023363095238094544,0.9100961538461547,1.0512019230769232,-0.14127187500000105,-1.4900961538461548,0.4650234663379254,0.5229301088707029,-0.0579066425327775,0.5476190476190476,0.7142857142857142,-0.16666666666666663,0.41944444444444445,0.5433333333333333,-0.12388888888888888,0.3482222222222222,0.5127627627627627,0.5738095238095238,-0.0610467610467611,0.5427631578947368,0.5,0
1038107152_25_1752415817,20250002,2025-07-13 20:00:00,1,-0.1306165099268547,-2.700814524555904,0.48275862068965514,-0.417972831765935,4,1,-1,2,0.038349007314525174,-0.1168234064785798,7.874034900731452,1.7616509926854746,-1.0727272727272732,-0.5485893416927912,1.2784655172413721,3.5127272727272736,0.2676071055381408,-0.8178683385579939,1.3687615464994707,-0.467607105538141,3.8896551724137938,2.613793103448275,60.01936551724139,0.910344827586206,-1.2245791245791242,-0.9794612794612796,-1.5698249158248956,-0.17542087542087614,0.6513460593422093,0.4312328887328888,0.22011317060932056,0.9380952380952381,0.58,0.35809523809523813,0.7,0.26607142857142857,0.4339285714285714,0.6349364933685838,0.5614886731391586,0.3823051948051948,0.1791834783339638,0.459546925566343,0.5,0
1038107152_24_1752413778,20250002,2025-07-13 20:00:00,1,-0.1306165099268547,-2.700814524555904,0.48275862068965514,-0.417972831765935,4,1,-1,2,0.038349007314525174,-0.1168234064785798,7.874034900731452,1.7616509926854746,-1.0727272727272732,-0.5485893416927912,1.2784655172413721,3.5127272727272736,0.2676071055381408,-0.8178683385579939,1.3687615464994707,-0.467607105538141,3.8896551724137938,2.613793103448275,60.01936551724139,0.910344827586206,-1.2245791245791242,-0.9794612794612796,-1.5698249158248956,-0.17542087542087614,0.6562111801242236,0.4743844608688934,0.18182671925533023,0.75,0.72,0.030000000000000027,0.8474999999999999,0.3938886859091463,0.45361131409085365,0.6403924963924963,0.5661231884057971,0.4768965517241379,0.0892266366816592,0.540453074433657,0.5,0
1038107152_22_1752409193,20250002,2025-07-13 20:00:00,1,-0.1306165099268547,-2.700814524555904,0.48275862068965514,-0.417972831765935,4,1,-1,2,0.038349007314525174,-0.1168234064785798,7.874034900731452,1.7616509926854746,-1.0727272727272732,-0.5485893416927912,1.2784655172413721,3.5127272727272736,0.2676071055381408,-0.8178683385579939,1.3687615464994707,-0.467607105538141,3.8896551724137938,2.613793103448275,60.01936551724139,0.910344827586206,-1.2245791245791242,-0.9794612794612796,-1.5698249158248956,-0.17542087542087614,0.5364328078613793,0.43847346871737114,0.09795933914400812,0.5633333333333332,0.86,-0.29666666666666675,0.5867091836734695,0.41722222222222227,0.1694869614512472,0.6537645325434799,0.5337519623233908,0.44545454545454544,0.0882974168688454,0.459546925566343,0.5,0
1038107152_23_1752411366,20250002,2025-07-13 20:00:00,0,-0.1306165099268547,-2.700814524555904,0.48275862068965514,-0.417972831765935,4,1,-1,2,0.038349007314525174,-0.1168234064785798,7.874034900731452,1.7616509926854746,-1.0727272727272732,-0.5485893416927912,1.2784655172413721,3.5127272727272736,0.2676071055381408,-0.8178683385579939,1.3687615464994707,-0.467607105538141,3.8896551724137938,2.613793103448275,60.01936551724139,0.910344827586206,-1.2245791245791242,-0.9794612794612796,-1.5698249158248956,-0.17542087542087614,0.41621833302033523,0.5162737535294106,-0.1000554205090754,0.4533333333333333,0.7333333333333333,-0.27999999999999997,0.38809523809523805,0.5832376283846872,-0.19514239028944913,0.3990463659147869,0.40170174652933277,0.5492865343611613,-0.1475847878318285,0.540453074433657,0.5,0
48251408_5_1752570258,20250002,2025-07-15 17:00:00,0,-0.1515151515151515,-1.972405555555556,-0.18939393939393945,-0.4242424242424243,-3,-4,-3,-1,-2.2770833333333336,-1.369791666666667,-23.023850000000003,1.34375,-0.7398148148148138,-0.367592592592592,-4.540989814814807,-0.06018518518518601,-1.0277777777777777,0.5055555555555538,26.257408333333345,0.8944444444444444,-0.4878787878787878,0.023232323232323715,8.484664141414129,0.8878787878787882,-0.9277614858260019,-0.1515151515151505,0.033539687194519274,-1.2322385141739982,0.5256265664160401,0.5159878139194328,0.009638752496607284,0.3333333333333333,0.4699999999999999,-0.1366666666666666,0.6833333333333333,0.40711961052363527,0.2762137228096981,0.6051758241758242,0.4910714285714286,0.5371428571428571,-0.04607142857142854,0.536741214057508,0.5,0
48251408_6_1752572198,20250002,2025-07-15 17:00:00,1,-0.1515151515151515,-1.972405555555556,-0.18939393939393945,-0.4242424242424243,-3,-4,-3,-1,-2.2770833333333336,-1.369791666666667,-23.023850000000003,1.34375,-0.7398148148148138,-0.367592592592592,-4.540989814814807,-0.06018518518518601,-1.0277777777777777,0.5055555555555538,26.257408333333345,0.8944444444444444,-0.4878787878787878,0.023232323232323715,8.484664141414129,0.8878787878787882,-0.9277614858260019,-0.1515151515151505,0.033539687194519274,-1.2322385141739982,0.48541748181988026,0.44974807305773956,0.0356694087621407,0.1,0.23666666666666666,-0.13666666666666666,0.36615384615384616,0.2887666761619902,0.07738716999185596,0.5413645477329687,0.439873417721519,0.4844319958311621,-0.04455857810964309,0.536741214057508,0.5,0
